UserId, SongId, ListenDuration
1.8799072E+09,774236500,0
1.8799072E+09,774236500,0
1.8799072E+09,774236500,0
1.8799072E+09,1.3076279E+09,0
1.8799072E+09,774236500,0
1.8799072E+09,774236500,0
1.8799072E+09,774236500,0
1.8799072E+09,774236500,0
1.8799072E+09,774236500,0
1.8799072E+09,774236500,0
1.8799072E+09,774236500,0
1.2094998E+09,429876930,0
1.2094998E+09,1.3076279E+09,0
1.2094998E+09,1.3076279E+09,0
1.2094998E+09,429876930,0
1.2094998E+09,774236500,0
1.2094998E+09,1.3076279E+09,0
1.2094998E+09,429876930,0
1.2094998E+09,1.3076279E+09,0
1.2094998E+09,429876930,0
1.2094998E+09,429876930,0
1.2094998E+09,429876930,0
1.2094998E+09,429876930,0
1.2094998E+09,429876930,0
1.2094998E+09,429876930,0
1.2094998E+09,774236500,0
1.2094998E+09,1.3076279E+09,0
